player,tour,steal_charting
Jan Choinski,m,13.1
Jan Lennard Struff,m,6.6
Jana Novotna,w,29.7
Janice Tjen,w,11.1
Janko Tipsarevic,m,12.9
Jannik Sinner,m,18.9
Jaqueline Cristian,w,22.5
Jared Donaldson,m,21.0
Jarkko Nieminen,m,17.3
Jarmila Gajdosova,w,14.6
Jasmine Paolini,w,20.0
Jason Kubler,m,26.7
Jaume Munar,m,37.0
Jelena Dokic,w,24.7
Jelena Jankovic,w,19.0
Jelena Ostapenko,w,19.1
Jelle Sels,m,32.3
Jennifer Brady,w,11.0
Jennifer Capriati,w,18.7
Jenson Brooksby,m,29.5
Jeremy Chardy,m,11.5
Jerzy Janowicz,m,66.7
Jesper De Jong,m,51.1
Jessica Bouzas Maneiro,w,3.8
Jessica Pegula,w,31.3
Jil Teichmann,w,38.1
Jim Courier,m,36.6
Jimmy Connors,m,22.6
Jiri Lehecka,m,15.8
Jiri Novak,m,24.6
Jiri Vesely,m,32.1
Jo Wilfried Tsonga,m,25.4
Joao Fonseca,m,21.6
Joao Sousa,m,19.2
Johanna Konta,w,30.4
Johanna Larsson,w,29.4
John Isner,m,19.1
John Mcenroe,m,29.7
John Millman,m,10.8
John Newcombe,m,112.0
Jonas Bjorkman,m,28.3
Jonas Svensson,m,46.3
Jordan Thompson,m,22.2
Jordi Arrese,m,17.3
Jose Higueras,m,28.9
Jose Luis Clerc,m,14.3
Jozef Kovalik,m,35.2
Juan Carlos Ferrero,m,24.7
Juan Carlos Prado Angelo,m,16.1
Juan Ignacio Chela,m,21.2
Juan Ignacio Londero,m,29.1
Juan Manuel Cerundolo,m,50.2
Juan Martin Del Potro,m,21.8
Juan Monaco,m,20.4
Juan Pablo Varillas,m,16.9
Jule Niemeier,w,33.0
Julia Goerges,w,26.1
Julia Grabher,w,30.3
Julien Benneteau,m,32.4
Juncheng Shang,m,23.2
Jurgen Melzer,m,32.2
Justine Henin,w,20.7
Kaia Kanepi,w,16.8
Kaja Juvan,w,82.7
Kamil Majchrzak,m,48.0
Kamilla Rakhimova,w,65.7
Karen Khachanov,m,20.3
Karim Mohamed Maamoun,m,34.1
Karol Kucera,m,12.2
Karolina Muchova,w,40.3
Karolina Pliskova,w,17.1
Karue Sell,m,12.4
Kate Makarova,w,13.2
Katerina Siniakova,w,28.7
Kateryna Baindl,w,52.4
Kateryna Bondarenko,w,13.5
Kathinka Von Deichmann,w,33.7
Katie Boulter,w,19.3
Katie Swan,w,6.3
Katie Volynets,w,16.6
Katrina Scott,w,15.8
Kayla Day,w,39.5
Kei Nishikori,m,21.4
Kevin Anderson,m,12.1
Kevin Curren,m,36.4
Kevin King,m,11.6
Kiki Bertens,w,47.2
Kim Clijsters,w,24.6
Kimberly Birrell,w,17.9
Kimiko Date Krumm,w,17.4
Kirsten Flipkens,w,56.2
Klara Koukalova,w,6.1
Kristina Kucova,w,66.1
Kristina Mladenovic,w,45.7
Kurumi Nara,w,22.8
Kyle Edmund,m,9.1
Lanlana Tararudee,w,9.1
Laslo Djere,m,18.3
